uuid;quantity;unit;name;category
a2f4e2e307aa28f20b89;1;tbsp;olive oil;Condiment
cb63700d3badc09031a7;1;tbsp;olive oil;Condiment
02f1939873c5ed70986c;1;tbsp;olive oil;Condiment
0528174c0168ac50d4d4;3;tbsp;olive oil;Condiment
19d959d6874b812a9094;1;tbsp;olive oil;Condiment
194dd9e1bf7694493015;1;tbsp;olive oil;Condiment
6de778e5c687e14b0e50;1;;pepper;Condiment
4324264498e040b4fdc7;1;;pepper;Condiment
4dc3a8de1fe1e7c78276;125;ml;rice vinegar;Condiment
5abd684ef293eb899341;1;tbsp;sunflower oil;Condiment
74195811e951e9fbe3f8;2;tbsp;sunflower oil;Condiment
381784f839eae80dffe7;2;tbsp;sunflower oil;Condiment
bce50bc9645667072133;1;tbsp;sunflower oil;Condiment
18c4a29debd67599b36a;1;tbsp;sunflower oil;Condiment
bdc7448d788edf8e88f4;2;tbsp;sunflower oil;Condiment
4dc3a8de1fe1e7c78276;1;tbsp;sunflower oil;Condiment
92699b7582199135ad27;4;tbsp;sunflower oil;Condiment
24d25b308700d23f709b;20;g;butter;Dairy
f72acec0c134474aa129;25;g;butter;Dairy
99b55a0d8e297048cfc0;50;g;butter;Dairy
0992b75fd5a8cc6a3e3e;90;g;butter;Dairy
684a85ea430c1fc1c513;25;g;butter;Dairy
02f1939873c5ed70986c;25;g;butter;Dairy
0528174c0168ac50d4d4;25;g;butter;Dairy
194dd9e1bf7694493015;25;g;butter;Dairy
397e7921ba58f77a9ce1;50;g;butter;Dairy
cb369a7d5b20b4bfb427;100;g;butter;Dairy
9f28504dfe4ea469ead6;50;g;butter;Dairy
78618932bf1e6eb7049d;150;g;butter;Dairy
992b01ee1b5c69845eec;100;g;butter;Dairy
755985659b42a5effc69;100;g;butter;Dairy
ef43008554b87ff9d590;85;g;butter;Dairy
12f84704141e5efcd98d;140;g;butter;Dairy
cacfe28b4d2c6964be85;200;g;butter;Dairy
f17672605ba58e226ff9;140;g;butter;Dairy
18e04b3fff1325b4d244;400;g;butter;Dairy
755985659b42a5effc69;50;g;butter;Dairy
286a7c7866ffa2650643;100;g;butter;Dairy
74195811e951e9fbe3f8;20;g;butter;Dairy
cacfe28b4d2c6964be85;200;g;butter;Dairy
25b3e1b39fa86f866446;375;g;butter;Dairy
359dd9119bc954ae526d;185;g;butter;Dairy
5abd684ef293eb899341;100;g;butter;Dairy
bce50bc9645667072133;50;g;cheddar;Dairy
287b2c962512f7153d66;50;g;cheddar;Dairy
0528174c0168ac50d4d4;200;g;cheddar;Dairy
02f1939873c5ed70986c;85;g;cheddar;Dairy
6549326c3784d1c5cff0;100;g;cheese;Dairy
781874bcf5aac010e8ff;150;ml;cream;Dairy
992b01ee1b5c69845eec;284;ml;cream;Dairy
0992b75fd5a8cc6a3e3e;50;ml;cream;Dairy
992b01ee1b5c69845eec;600;g;cream cheese;Dairy
ef43008554b87ff9d590;900;g;cream cheese;Dairy
24d25b308700d23f709b;20;g;creme fraiche;Dairy
99b55a0d8e297048cfc0;140;g;creme fraiche;Dairy
66c0531c06a9f27a851a;20;g;creme fraiche;Dairy
6de778e5c687e14b0e50;20;g;creme fraiche;Dairy
cb63700d3badc09031a7;20;g;creme fraiche;Dairy
8978cc0ca9193bb8d7f3;250;g;mascarpone;Dairy
286a7c7866ffa2650643;250;g;mascarpone;Dairy
5abd684ef293eb899341;10;ml;milk;Dairy
0528174c0168ac50d4d4;225;ml;milk;Dairy
755985659b42a5effc69;100;ml;milk;Dairy
5abd684ef293eb899341;150;ml;milk;Dairy
287b2c962512f7153d66;125;g;mozzarella;Dairy
f72acec0c134474aa129;50;g;parmesan;Dairy
19d959d6874b812a9094;75;g;parmesan;Dairy
bce50bc9645667072133;250;g;ricotta;Dairy
8978cc0ca9193bb8d7f3;284;ml;soured cream;Dairy
ef43008554b87ff9d590;284;ml;soured cream;Dairy
ef43008554b87ff9d590;142;ml;soured cream;Dairy
74195811e951e9fbe3f8;140;g;stilton;Dairy
a2f4e2e307aa28f20b89;4;tbsp;yogurt;Dairy
66c0531c06a9f27a851a;1;;salad;Dish
4dc3a8de1fe1e7c78276;1;;salad;Dish
684a85ea430c1fc1c513;300;g;basmati rice;Dry
8b1fcfc80c7231df0d48;100;g;beans;Dry
381784f839eae80dffe7;400;g;chickpea;Dry
a2f4e2e307aa28f20b89;200;g;chickpea;Dry
8b1fcfc80c7231df0d48;400;g;chickpea;Dry
755985659b42a5effc69;25;g;flour;Dry
99b55a0d8e297048cfc0;25;g;flour;Dry
359dd9119bc954ae526d;85;g;flour;Dry
cb369a7d5b20b4bfb427;100;g;flour;Dry
755985659b42a5effc69;200;g;flour;Dry
78618932bf1e6eb7049d;250;g;flour;Dry
0992b75fd5a8cc6a3e3e;2;tbsp;flour;Dry
381784f839eae80dffe7;2;tbsp;flour;Dry
0528174c0168ac50d4d4;3;tbsp;flour;Dry
ef43008554b87ff9d590;3;tbsp;flour;Dry
9f28504dfe4ea469ead6;1;tbsp;flour;Dry
78618932bf1e6eb7049d;1;tbsp;flour;Dry
bce50bc9645667072133;9;;lasagne sheets;Dry
bdc7448d788edf8e88f4;100;g;lentils;Dry
a2f4e2e307aa28f20b89;140;g;lentils;Dry
02f1939873c5ed70986c;410;g;lentils;Dry
18c4a29debd67599b36a;40;g;lentils;Dry
6549326c3784d1c5cff0;200;g;pasta;Dry
18c4a29debd67599b36a;175;g;peas;Dry
4324264498e040b4fdc7;250;g;rice;Dry
f72acec0c134474aa129;300;g;risotto rice;Dry
f17672605ba58e226ff9;140;g;self-raising flour;Dry
12f84704141e5efcd98d;140;g;self-raising flour;Dry
cacfe28b4d2c6964be85;140;g;self-raising flour;Dry
5abd684ef293eb899341;175;g;self-raising flour;Dry
19d959d6874b812a9094;400;g;spaghetti;Dry
18e04b3fff1325b4d244;140;g;spaghetti;Dry
6de778e5c687e14b0e50;140;g;crayfish tails;Fish
4dc3a8de1fe1e7c78276;600;g;prawns;Fish
66c0531c06a9f27a851a;10;g;prawns;Fish
99b55a0d8e297048cfc0;140;g;smoked mackerel;Fish
66c0531c06a9f27a851a;400;g;smoked salmon;Fish
99b55a0d8e297048cfc0;140;g;smoked salmon;Fish
25b3e1b39fa86f866446;50;g;apple;Fruit
397e7921ba58f77a9ce1;450;g;apple;Fruit
755985659b42a5effc69;70;g;apple;Fruit
cacfe28b4d2c6964be85;4;;apple;Fruit
6de778e5c687e14b0e50;1;;avocado;Fruit
7a62eaea1565c352310b;3;;avocado;Fruit
f17672605ba58e226ff9;2;tbsp;banana;Fruit
24d25b308700d23f709b;1;kg;butternut squash;Vegetable
781874bcf5aac010e8ff;1;kg;butternut squash;Vegetable
286a7c7866ffa2650643;700;g;cherries;Fruit
19d959d6874b812a9094;100;g;cherry tomatoes;Fruit
cb63700d3badc09031a7;200;g;cherry tomatoes;Fruit
9f28504dfe4ea469ead6;500;g;gooseberry;Fruit
286a7c7866ffa2650643;1;;lemon;Fruit
8b1fcfc80c7231df0d48;1;;lemon;Fruit
ef43008554b87ff9d590;1;;lemon;Fruit
99b55a0d8e297048cfc0;2;;lemon;Fruit
397e7921ba58f77a9ce1;1;;lemon;Fruit
2346df08e1939e37ed64;1;;lemon;Fruit
ef43008554b87ff9d590;1;;lemon;Fruit
ef43008554b87ff9d590;2;;lemon;Fruit
7a62eaea1565c352310b;1;;lime;Fruit
4dc3a8de1fe1e7c78276;1;;lime;Fruit
6de778e5c687e14b0e50;1;;lime;Fruit
66c0531c06a9f27a851a;1;;lime;Fruit
fbd0c5b8660e5b1815d9;1;;melon;Fruit
78618932bf1e6eb7049d;1;;orange;Fruit
78618932bf1e6eb7049d;800;g;plum;Fruit
684a85ea430c1fc1c513;85;g;raisins;Fruit
fbd0c5b8660e5b1815d9;200;g;raspberry;Fruit
12f84704141e5efcd98d;250;g;raspberry;Fruit
fbd0c5b8660e5b1815d9;200;g;strawberry;Fruit
992b01ee1b5c69845eec;400;g;strawberry;Fruit
8978cc0ca9193bb8d7f3;400;g;strawberry;Fruit
fbd0c5b8660e5b1815d9;50;g;strawberry;Fruit
fbd0c5b8660e5b1815d9;10;g;vanilla;Fruit
12f84704141e5efcd98d;1;tbsp;vanilla;Fruit
ef43008554b87ff9d590;1;tsp;vanilla;Fruit
755985659b42a5effc69;1;tbsp;vanilla;Fruit
cb369a7d5b20b4bfb427;1;tbsp;vanilla;Fruit
992b01ee1b5c69845eec;1;tbsp;vanilla;Fruit
fbd0c5b8660e5b1815d9;1;bunch;basil;Herb and Spice
cb63700d3badc09031a7;1;bunch;basil;Herb and Spice
19d959d6874b812a9094;1;bunch;basil;Herb and Spice
0992b75fd5a8cc6a3e3e;1;tbsp;bay leaf;Herb and Spice
684a85ea430c1fc1c513;1;tbsp;bay leaf;Herb and Spice
397e7921ba58f77a9ce1;1;tbsp;bay leaf;Herb and Spice
0528174c0168ac50d4d4;2;tbsp;bay leaf;Herb and Spice
19d959d6874b812a9094;2;tbsp;bay leaf;Herb and Spice
4324264498e040b4fdc7;1;tbsp;cajun spices;Herb and Spice
684a85ea430c1fc1c513;3;tbsp;cardamom;Herb and Spice
8b1fcfc80c7231df0d48;2;;celery;Herb and Spice
0528174c0168ac50d4d4;3;;celery;Herb and Spice
19d959d6874b812a9094;2;;celery;Herb and Spice
18e04b3fff1325b4d244;4;;celery;Herb and Spice
74195811e951e9fbe3f8;1;;celery;Herb and Spice
a2f4e2e307aa28f20b89;1;tsp;chili flakes;Herb and Spice
4dc3a8de1fe1e7c78276;2;tsp;chili flakes;Herb and Spice
684a85ea430c1fc1c513;1;;cinnamon stick;Herb and Spice
92699b7582199135ad27;1;;cinnamon stick;Herb and Spice
a2f4e2e307aa28f20b89;1;bunch;coriander;Herb and Spice
684a85ea430c1fc1c513;2;bunch;coriander;Herb and Spice
7a62eaea1565c352310b;1;bunch;coriander;Herb and Spice
8b1fcfc80c7231df0d48;1;bunch;coriander;Herb and Spice
bdc7448d788edf8e88f4;1;bunch;coriander;Herb and Spice
4dc3a8de1fe1e7c78276;2;bunch;coriander;Herb and Spice
92699b7582199135ad27;2;bunch;coriander;Herb and Spice
2346df08e1939e37ed64;1;bunch;coriander;Herb and Spice
4dc3a8de1fe1e7c78276;1;bunch;coriander;Herb and Spice
a2f4e2e307aa28f20b89;2;tbsp;cumin;Herb and Spice
92699b7582199135ad27;2;tbsp;cumin;Herb and Spice
2346df08e1939e37ed64;1;tbsp;cumin;Herb and Spice
8b1fcfc80c7231df0d48;2;tbsp;cumin;Herb and Spice
381784f839eae80dffe7;1;tbsp;cumin;Herb and Spice
684a85ea430c1fc1c513;4;tbsp;curry paste;Herb and Spice
bdc7448d788edf8e88f4;2;tbsp;curry paste;Herb and Spice
18c4a29debd67599b36a;2;tbsp;curry paste;Herb and Spice
92699b7582199135ad27;1;tbsp;fennel seeds;Herb and Spice
92699b7582199135ad27;1;tsp;garam masala;Herb and Spice
24d25b308700d23f709b;1;clove;garlic;Herb and Spice
