uuid;quantity;unit;name;category
5f4db89807d5d1f23946;2;tbsp;olive oil;Condiment
2ca0b7790c3238d9f9a3;2;tbsp;olive oil;Condiment
de4fd04b5b2a6b3ad7bd;1;tbsp;olive oil;Condiment
ffc9de576eb8ce1deb32;2;tbsp;olive oil;Condiment
d349ee79cf6c1810757e;1;tbsp;olive oil;Condiment
236a6329caba80c14040;2;tbsp;pepper;Condiment
6de778e5c687e14b0e50;1;;pepper;Condiment
4324264498e040b4fdc7;1;;pepper;Condiment
d6727f46fef9807326a2;1;;pepper;Condiment
2ca0b7790c3238d9f9a3;2;tbsp;pepper;Condiment
6944a360615d3b68389a;34;g;pepper;Condiment
2ca0b7790c3238d9f9a3;10;g;pepper;Condiment
3e7d26c4653d6de4140d;1;;pepper;Condiment
6a273fc5bda281a1050d;2;;pepper;Condiment
15b882b5e7589eb10aab;2;;pepper;Condiment
31ba495e2804d81a76db;1;tsp;pepper;Condiment
4db75eac69d1124d0df3;2;tbsp;pepper;Condiment
4dc3a8de1fe1e7c78276;125;ml;rice vinegar;Condiment
6b44db6764041db8a381;4;tbsp;salt;Condiment
99734819eaeb59e8d748;1;tbsp;salt;Condiment
5abd684ef293eb899341;1;tbsp;sunflower oil;Condiment
74195811e951e9fbe3f8;2;tbsp;sunflower oil;Condiment
381784f839eae80dffe7;2;tbsp;sunflower oil;Condiment
bce50bc9645667072133;1;tbsp;sunflower oil;Condiment
18c4a29debd67599b36a;1;tbsp;sunflower oil;Condiment
bdc7448d788edf8e88f4;2;tbsp;sunflower oil;Condiment
4dc3a8de1fe1e7c78276;1;tbsp;sunflower oil;Condiment
92699b7582199135ad27;4;tbsp;sunflower oil;Condiment
86073e779a756565efb9;1;tbsp;sunflower oil;Condiment
b75f44023b45c1d6a82e;1;tbsp;sunflower oil;Condiment
2aa986ba97ac6c0ba09f;1;tsp;sunflower oil;Condiment
d6727f46fef9807326a2;1;tsp;sunflower oil;Condiment
3e7d26c4653d6de4140d;2;tsp;sunflower oil;Condiment
6b44db6764041db8a381;10;g;tabasco;Condiment
85d012d899a16d879013;1;tbsp;balsamic vinegar;Condiment
76b36865a2a1f289937f;2;tbsp;vinegar;Condiment
a5ad2b18ce6a8cf1137f;3;tbsp;orange oil;Condiment
09b214104c84283f8cb2;4;tbsp;olive oil;Condiment
a400e02b1f847036b53d;1;tbsp;salt;Condiment
208caa78fd6389d3f7d6;3;tbsp;olive oil;Condiment
22d176142cb988497e7b;1;tbsp;mayonnaise;Condiment
76b36865a2a1f289937f;5;tbsp;olive oil;Condiment
1ef6b05701b4dccba3a6;1;tbsp;olive oil;Condiment
612d3fbad49ea9ccc3c6;3;tbsp;olive oil;Condiment
f5a8b956994f4a68f90c;2;tbsp;olive oil;Condiment
236a6329caba80c14040;2;tbsp;olive oil;Condiment
a97e4fe8fd9ce7d8fd75;1;tbsp;olive oil;Condiment
feb7951a7f5547e84d49;2;tbsp;olive oil;Condiment
abb9c496dc6a551a5534;3;tbsp;olive oil;Condiment
19234c075046aedee7bf;4;tbsp;olive oil;Condiment
617978d1692f335ba322;1;tbsp;olive oil;Condiment
9f0ca93d6dd6978f0c21;2;tbsp;olive oil;Condiment
a400e02b1f847036b53d;4;tbsp;olive oil;Condiment
85d012d899a16d879013;2;tbsp;olive oil;Condiment
208caa78fd6389d3f7d6;1;tbsp;vinegar;Condiment
d349ee79cf6c1810757e;2;tbsp;balsamic vinegar;Condiment
81a843b4d29b4223c641;3;tbsp;olive oil;Condiment
76b36865a2a1f289937f;2;tbsp;mayonnaise;Condiment
4db75eac69d1124d0df3;0;balsamic;balsamic vinegar;Condiment
f5a8b956994f4a68f90c;1;tbsp;pepper;Condiment
1ef6b05701b4dccba3a6;1;tbsp;mozzarella;Dairy
666995576ae7c8be50c7;1;tbsp;mozzarella;Dairy
9f0ca93d6dd6978f0c21;125;g;mozzarella;Dairy
24d25b308700d23f709b;20;g;butter;Dairy
f72acec0c134474aa129;25;g;butter;Dairy
99b55a0d8e297048cfc0;50;g;butter;Dairy
0992b75fd5a8cc6a3e3e;90;g;butter;Dairy
684a85ea430c1fc1c513;25;g;butter;Dairy
02f1939873c5ed70986c;25;g;butter;Dairy
0528174c0168ac50d4d4;25;g;butter;Dairy
194dd9e1bf7694493015;25;g;butter;Dairy
397e7921ba58f77a9ce1;50;g;butter;Dairy
cb369a7d5b20b4bfb427;100;g;butter;Dairy
9f28504dfe4ea469ead6;50;g;butter;Dairy
78618932bf1e6eb7049d;150;g;butter;Dairy
992b01ee1b5c69845eec;100;g;butter;Dairy
755985659b42a5effc69;100;g;butter;Dairy
ef43008554b87ff9d590;85;g;butter;Dairy
12f84704141e5efcd98d;140;g;butter;Dairy
cacfe28b4d2c6964be85;200;g;butter;Dairy
f17672605ba58e226ff9;140;g;butter;Dairy
18e04b3fff1325b4d244;400;g;butter;Dairy
755985659b42a5effc69;50;g;butter;Dairy
286a7c7866ffa2650643;100;g;butter;Dairy
74195811e951e9fbe3f8;20;g;butter;Dairy
cacfe28b4d2c6964be85;200;g;butter;Dairy
25b3e1b39fa86f866446;375;g;butter;Dairy
359dd9119bc954ae526d;185;g;butter;Dairy
5abd684ef293eb899341;100;g;butter;Dairy
32010bd86b84dee27a6c;50;g;butter;Dairy
4a98aa675da5bb5e445a;25;g;butter;Dairy
0412d199f71146f42257;85;g;butter;Dairy
dde21de18e237baabd12;140;g;butter;Dairy
e23a94d2d97032cbae31;85;g;butter;Dairy
4a98aa675da5bb5e445a;140;g;butter;Dairy
5e08887a47fcf4a5b68f;50;g;butter;Dairy
de519abd9941bdff93c8;110;g;butter;Dairy
3b4a5a7efce616b9c720;50;g;butter;Dairy
202ae5a14e53772af2a6;1;tbsp;butter;Dairy
91696ebacc6c4ddfd3b4;4;tbsp;butter;Dairy
15f3a3e0b9f992e9b823;50;g;butter;Dairy
a2f6240a66ab428e6d61;85;g;butter;Dairy
d14edc387bdd1ac463a1;25;g;butter;Dairy
1abbd1dce11537641229;25;g;butter;Dairy
0dda049dc7ae42af6c05;100;g;butter;Dairy
db57f1743fa154618cd2;250;g;butter;Dairy
0dda049dc7ae42af6c05;140;g;butter;Dairy
5e08887a47fcf4a5b68f;100;ml;buttermilk;Dairy
0f6117099c5fb8356d62;250;ml;buttermilk;Dairy
edb04312c7426eb32fe9;284;ml;buttermilk;Dairy
0f6117099c5fb8356d62;50;g;buttermilk;Dairy
a5ad2b18ce6a8cf1137f;142;ml;cream;Dairy
837b068723364c202aff;284;ml;cream;Dairy
a5ad2b18ce6a8cf1137f;500;g;mascarpone;Dairy
bce50bc9645667072133;50;g;cheddar;Dairy
287b2c962512f7153d66;50;g;cheddar;Dairy
0528174c0168ac50d4d4;200;g;cheddar;Dairy
02f1939873c5ed70986c;85;g;cheddar;Dairy
3b4a5a7efce616b9c720;175;g;cheddar;Dairy
dde21de18e237baabd12;250;g;cheddar;Dairy
91696ebacc6c4ddfd3b4;140;g;cheddar;Dairy
598fccc8ab06e9a83389;100;g;cheddar;Dairy
32010bd86b84dee27a6c;75;g;cheddar;Dairy
4a98aa675da5bb5e445a;140;g;cheddar;Dairy
202ae5a14e53772af2a6;200;g;cheddar;Dairy
de519abd9941bdff93c8;225;g;cheddar;Dairy
5e08887a47fcf4a5b68f;100;g;cheddar;Dairy
edb04312c7426eb32fe9;75;g;cheddar;Dairy
0f6117099c5fb8356d62;200;g;cheddar;Dairy
de4fd04b5b2a6b3ad7bd;50;g;cheddar;Dairy
747c44e9b1a166711116;140;g;cheddar;Dairy
0412d199f71146f42257;300;g;cheddar;Dairy
ffc9de576eb8ce1deb32;85;g;cheddar;Dairy
e23a94d2d97032cbae31;85;g;cheddar;Dairy
19234c075046aedee7bf;125;g;cheddar;Dairy
6549326c3784d1c5cff0;100;g;cheese;Dairy
6944a360615d3b68389a;12;g;cheese;Dairy
a400e02b1f847036b53d;1;tbsp;cheese;Dairy
1494bd4f9127936bd043;175;g;butter;Dairy
781874bcf5aac010e8ff;150;ml;cream;Dairy
992b01ee1b5c69845eec;284;ml;cream;Dairy
0992b75fd5a8cc6a3e3e;50;ml;cream;Dairy
4a98aa675da5bb5e445a;284;ml;cream;Dairy
91696ebacc6c4ddfd3b4;142;ml;cream;Dairy
992b01ee1b5c69845eec;600;g;cream cheese;Dairy
ef43008554b87ff9d590;900;g;cream cheese;Dairy
24d25b308700d23f709b;20;g;creme fraiche;Dairy
99b55a0d8e297048cfc0;140;g;creme fraiche;Dairy
66c0531c06a9f27a851a;20;g;creme fraiche;Dairy
6de778e5c687e14b0e50;20;g;creme fraiche;Dairy
cb63700d3badc09031a7;20;g;creme fraiche;Dairy
6513ebd3b361cf93593b;300;ml;cream;Dairy
b1997b662d682300b081;400;ml;cream;Dairy
90ac7efc29a9119aeb46;300;ml;cream;Dairy
cddb55c884fb48f86bf5;400;ml;cream;Dairy
85d012d899a16d879013;50;g;fontina;Dairy
1494bd4f9127936bd043;1;l;milk;Dairy
15f3a3e0b9f992e9b823;350;g;ricotta;Dairy
1abbd1dce11537641229;50;g;parmesan;Dairy
8978cc0ca9193bb8d7f3;250;g;mascarpone;Dairy
286a7c7866ffa2650643;250;g;mascarpone;Dairy
d14edc387bdd1ac463a1;100;g;mascarpone;Dairy
6513ebd3b361cf93593b;250;g;mascarpone;Dairy
d14edc387bdd1ac463a1;50;g;cheddar;Dairy
5abd684ef293eb899341;10;ml;milk;Dairy
0528174c0168ac50d4d4;225;ml;milk;Dairy
755985659b42a5effc69;100;ml;milk;Dairy
5abd684ef293eb899341;150;ml;milk;Dairy
32010bd86b84dee27a6c;150;ml;milk;Dairy
91696ebacc6c4ddfd3b4;425;ml;milk;Dairy
0412d199f71146f42257;850;ml;milk;Dairy
3b4a5a7efce616b9c720;175;ml;milk;Dairy
d14edc387bdd1ac463a1;600;ml;milk;Dairy
19234c075046aedee7bf;400;ml;milk;Dairy
b1997b662d682300b081;150;ml;milk;Dairy
287b2c962512f7153d66;125;g;mozzarella;Dairy
a97e4fe8fd9ce7d8fd75;2;tbsp;parmesan;Dairy
feb7951a7f5547e84d49;500;g;polenta;Dairy
f72acec0c134474aa129;50;g;parmesan;Dairy
19d959d6874b812a9094;75;g;parmesan;Dairy
15f3a3e0b9f992e9b823;25;g;parmesan;Dairy
09b214104c84283f8cb2;25;g;parmesan;Dairy
a2f6240a66ab428e6d61;25;g;parmesan;Dairy
81a843b4d29b4223c641;25;g;parmesan;Dairy
d349ee79cf6c1810757e;50;g;parmesan;Dairy
feb7951a7f5547e84d49;25;g;parmesan;Dairy
e4c4c15c333092dca744;140;g;polenta;Dairy
bcae96dc1c0b90eda57d;568;ml;cream;Dairy
666995576ae7c8be50c7;200;g;cheese;Dairy
bce50bc9645667072133;250;g;ricotta;Dairy
1494bd4f9127936bd043;100;g;ricotta;Dairy
8978cc0ca9193bb8d7f3;284;ml;soured cream;Dairy
ef43008554b87ff9d590;284;ml;soured cream;Dairy
ef43008554b87ff9d590;142;ml;soured cream;Dairy
31ba495e2804d81a76db;1;g;soured cream;Dairy
15b882b5e7589eb10aab;4;tbsp;soured cream;Dairy
e23a94d2d97032cbae31;4;tbsp;soured cream;Dairy
74195811e951e9fbe3f8;140;g;stilton;Dairy
22d176142cb988497e7b;2;tbsp;butter;Dairy
3ead8112acd172c59779;4;tbsp;parmesan;Dairy
abb9c496dc6a551a5534;3;tbsp;parmesan;Dairy
22d176142cb988497e7b;2;tbsp;parmesan;Dairy
db57f1743fa154618cd2;4;tbsp;milk;Dairy
b3802daafb8b2121e09b;142;ml;cream;Dairy
b3802daafb8b2121e09b;142;ml;cream;Dairy
729cd47fa972c76a1f7c;200;g;cheese;Dairy
bcae96dc1c0b90eda57d;250;g;mascarpone;Dairy
90ac7efc29a9119aeb46;250;g;mascarpone;Dairy
e4c4c15c333092dca744;250;g;butter;Dairy
0dda049dc7ae42af6c05;125;ml;milk;Dairy
4db75eac69d1124d0df3;2;tbsp;mozzarella;Dairy
b3802daafb8b2121e09b;2;tbsp;mascarpone;Dairy
a2f4e2e307aa28f20b89;4;tbsp;yogurt;Dairy
0412d199f71146f42257;170;g;yogurt;Dairy
76b36865a2a1f289937f;1;bunch;salad;Dish
a97e4fe8fd9ce7d8fd75;450;g;sausage;Dish
66c0531c06a9f27a851a;1;;salad;Dish
4dc3a8de1fe1e7c78276;1;;salad;Dish
81a843b4d29b4223c641;1;;salad;Dish
1494bd4f9127936bd043;85;g;flour;Dry
99734819eaeb59e8d748;200;g;flour;Dry
684a85ea430c1fc1c513;300;g;basmati rice;Dry
8b1fcfc80c7231df0d48;100;g;beans;Dry
3e7d26c4653d6de4140d;400;g;beans;Dry
