uuid;quantity;unit;name;category
598fccc8ab06e9a83389;20;g;onion;Vegetable
2aa986ba97ac6c0ba09f;4;kg;beef;Meat
202ae5a14e53772af2a6;2;;lemon;Fruit
ffc9de576eb8ce1deb32;85;g;cheddar;Dairy
e23a94d2d97032cbae31;85;g;cheddar;Dairy
ffc9de576eb8ce1deb32;500;g;flour;Dry
b75f44023b45c1d6a82e;750;g;potatoes;Vegetable
202ae5a14e53772af2a6;1;tbsp;butter;Dairy
91696ebacc6c4ddfd3b4;4;tbsp;butter;Dairy
2aa986ba97ac6c0ba09f;4;tbsp;chipotle paste;Herb and Spice
6a273fc5bda281a1050d;3;tbsp;chipotle paste;Herb and Spice
b75f44023b45c1d6a82e;1;tbsp;chipotle paste;Herb and Spice
edb04312c7426eb32fe9;1;tbsp;honey;Bakery
e23a94d2d97032cbae31;4;tbsp;soured cream;Dairy
e23a94d2d97032cbae31;2;tbsp;mustard;Vegetable
2aa986ba97ac6c0ba09f;1;tbsp;oregano;Herb and Spice
5e08887a47fcf4a5b68f;1;tbsp;sage;Herb and Spice
0f6117099c5fb8356d62;1;tbsp;caster sugar;Bakery
2aa986ba97ac6c0ba09f;1;tbsp;cumin;Herb and Spice
de4fd04b5b2a6b3ad7bd;1;tbsp;mayonnaise;Condiment
31ba495e2804d81a76db;1;tbsp;olive oil;Condiment
7b4a75c7a63924bacb2a;2;tbsp;olive oil;Condiment
6a273fc5bda281a1050d;1;tbsp;olive oil;Condiment
15b882b5e7589eb10aab;1;tbsp;olive oil;Condiment
5f4db89807d5d1f23946;2;tbsp;olive oil;Condiment
2ca0b7790c3238d9f9a3;2;tbsp;olive oil;Condiment
de4fd04b5b2a6b3ad7bd;1;tbsp;olive oil;Condiment
ffc9de576eb8ce1deb32;2;tbsp;olive oil;Condiment
91696ebacc6c4ddfd3b4;7;tbsp;flour;Dry
2aa986ba97ac6c0ba09f;1;tbsp;flour;Dry
6b44db6764041db8a381;4;tbsp;salt;Condiment
6a273fc5bda281a1050d;1;tbsp;sugar;Bakery
2ca0b7790c3238d9f9a3;1;tbsp;tomato sauce;Canned Goods
86073e779a756565efb9;1;tbsp;sunflower oil;Condiment
b75f44023b45c1d6a82e;1;tbsp;sunflower oil;Condiment
dde21de18e237baabd12;1;tbsp;mustard;Vegetable
de4fd04b5b2a6b3ad7bd;45;g;chorizo;Meat
dde21de18e237baabd12;10;g;thyme;Herb and Spice
ffc9de576eb8ce1deb32;10;g;thyme;Herb and Spice
3b4a5a7efce616b9c720;10;g;thyme;Herb and Spice
e23a94d2d97032cbae31;10;g;thyme;Herb and Spice
2aa986ba97ac6c0ba09f;1;tsp;sunflower oil;Condiment
3b4a5a7efce616b9c720;1;tsp;baking powder;Bakery
0f6117099c5fb8356d62;2;tsp;baking powder;Bakery
edb04312c7426eb32fe9;1;tsp;baking powder;Bakery
0f6117099c5fb8356d62;1;tsp;baking powder;Bakery
31ba495e2804d81a76db;1;tsp;pepper;Condiment
6944a360615d3b68389a;1;tsp;chipotle paste;Herb and Spice
86073e779a756565efb9;1;tsp;chipotle paste;Herb and Spice
7b4a75c7a63924bacb2a;1;bunch;coriander;Herb and Spice
31ba495e2804d81a76db;1;tsp;cumin;Herb and Spice
ee73890b0f9fee414386;1;tsp;cumin;Herb and Spice
d6727f46fef9807326a2;1;tsp;cumin;Herb and Spice
2ca0b7790c3238d9f9a3;1;tsp;cumin;Herb and Spice
86073e779a756565efb9;1;tsp;caster sugar;Bakery
15b882b5e7589eb10aab;2;tsp;cumin;Herb and Spice
0412d199f71146f42257;2;tsp;mustard;Vegetable
3b4a5a7efce616b9c720;2;tsp;mustard;Vegetable
5e08887a47fcf4a5b68f;1;tsp;mustard;Vegetable
7b4a75c7a63924bacb2a;1;;lime;Fruit
3b4a5a7efce616b9c720;1;tsp;paprika;Herb and Spice
2aa986ba97ac6c0ba09f;2;tsp;cinnamon;Herb and Spice
d6727f46fef9807326a2;1;tsp;coriander;Herb and Spice
3e7d26c4653d6de4140d;1;tsp;coriander;Herb and Spice
3e7d26c4653d6de4140d;1;tsp;cumin;Herb and Spice
5f4db89807d5d1f23946;1;tsp;cumin;Herb and Spice
31ba495e2804d81a76db;1;;chili;Vegetable
d6727f46fef9807326a2;2;tsp;chili;Vegetable
3e7d26c4653d6de4140d;2;tsp;chili;Vegetable
7b4a75c7a63924bacb2a;1;tsp;caster sugar;Bakery
31ba495e2804d81a76db;1;tsp;paprika;Herb and Spice
7b4a75c7a63924bacb2a;1;tsp;paprika;Herb and Spice
d6727f46fef9807326a2;1;tsp;sunflower oil;Condiment
3e7d26c4653d6de4140d;2;tsp;sunflower oil;Condiment
d6727f46fef9807326a2;1;tsp;vegetable stock;Vegetable
3e7d26c4653d6de4140d;1;tsp;vegetable stock;Vegetable
0412d199f71146f42257;1;tsp;mustard;Vegetable
7b4a75c7a63924bacb2a;6;clove;garlic;Herb and Spice
b75f44023b45c1d6a82e;1;tbsp;vegetable stock;Vegetable
598fccc8ab06e9a83389;2;tbsp;vegetable stock;Vegetable
2aa986ba97ac6c0ba09f;4;tbsp;onion;Vegetable
d6727f46fef9807326a2;100;g;penne;Dry
15b882b5e7589eb10aab;300;g;beans;Dry
6a273fc5bda281a1050d;400;g;beans;Dry
747c44e9b1a166711116;400;g;beans;Dry
2aa986ba97ac6c0ba09f;400;g;tomato sauce;Canned Goods
6a273fc5bda281a1050d;400;g;tomato sauce;Canned Goods
747c44e9b1a166711116;400;g;tomato sauce;Canned Goods
ee73890b0f9fee414386;400;g;beans;Dry
15b882b5e7589eb10aab;400;g;tomato;Vegetable
2aa986ba97ac6c0ba09f;400;g;beans;Dry
